player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
Duane Underwood Jr.,Off-speed,191,85.1,85.5,1933.0,-0.381,-0.023,0.005,0.262,0.452,0.417,0.341
Dustin May,Off-speed,818,94.8,95.1,2543.6,-0.797,0.461,0.001,0.228,0.376,0.245,0.299
Dylan Bundy,Fastball,342,90.0,89.2,2421.9,-0.411,1.583,0.003,0.241,0.446,0.279,0.341
Dylan Bundy,Off-speed,676,80.9,80.2,2200.8,-0.231,0.167,0.001,0.191,0.290,0.271,0.252
Dylan Cease,Fastball,519,97.5,97.1,2521.4,-0.365, 1.316,0.002,0.254,0.500,0.253,0.404
Dylan Cease,Off-speed,566,83.4,83.1,2532.4, 0.322,-0.174,0.002,0.209,0.451,0.222,0.336
Dylan Covey,Off-speed,170,86.6,86.2,1926.3,-0.184,0.277,0.006,0.304,0.478,0.343,0.340
Dylan Floro,Off-speed,356,90.0,90.0,2126.3,-0.896,0.633,0.003,0.239,0.318,0.282,0.252
Edwin Diaz,Fastball,294,97.8,99.1,2355.1,-1.199,1.098,0.003,0.231,0.385,0.435,0.329
Edwin Diaz,Off-speed,189,89.8,91.2,2311.5, 0.048,0.408,0.005,0.143,0.167,0.316,0.235
