player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,SO,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Jon Lester,2754,89.267235742826,89.00566108007449,2288.7885127424875,0.35510352342898654,1.1117326552851434,3.6310820624546115e-4,169,0.21428571428571427,0.34782608695652173,0.18789808917197454,0.28094420600858366,452657,25000000,2016
Jonathon Niese,1867,87.0821638993037,86.88524229074889,2040.8224351747463,0.59046598821639,0.7397964649169791,5.356186395286556e-4,79,0.29653679653679654,0.512987012987013,0.26077097505668934,0.38043650793650796,477003,9000000,2016
Jordan Lyles,779,90.15365853658537,90.56876606683805,2069.4332460732985,-0.4288831835686778,0.7329910141206676,0.0012836970474967907,27,0.3112244897959184,0.44387755102040816,0.29381443298969073,0.3805357142857143,543475,2975000,2016
Jordan Zimmermann,1707,89.2298769771529,88.48283362727807,2363.822738386308,-0.3690099589923843,1.0392501464557704,5.858230814294083e-4,65,0.28433734939759037,0.4795180722891566,0.2561576354679803,0.3511830357142857,519455,18000000,2016
Jose Quintana,2877,88.58713938129996,88.24873949579832,2003.94039497307,0.41362530413625304,0.9858185610010427,3.475842891901286e-4,159,0.24962852897473997,0.4026745913818722,0.225114854517611,0.3131578947368421,500779,5400000,2016
Josh Fields,464,89.48189655172413,89.34451754385965,2161.221729490022,-0.09482758620689655,0.9717672413793104,0.0021551724137931034,33,0.27102803738317754,0.4766355140186916,0.24761904761904763,0.3523076923076923,451661,900000,2016
Josh Tomlin,2265,85.07629139072847,84.10618231046931,2471.6956920256644,-0.1069757174392936,0.8861810154525387,4.415011037527594e-4,101,0.2603648424543947,0.46102819237147596,0.22279792746113988,0.3228685897435898,458708,2250000,2016
Juan Nicasio,1984,91.76219758064516,90.9375,2076.4997163925127,-0.5246975806451613,1.2537802419354838,5.040322580645161e-4,121,0.2628992628992629,0.457002457002457,0.23057644110275688,0.35256521739130436,504379,3000000,2016
Julio Teheran,2774,86.41935832732516,86.22777981651376,2206.768566493955,-0.5468997837058399,0.8695746214852199,3.604902667627974e-4,157,0.21374045801526717,0.35877862595419846,0.18867924528301888,0.2846077032810271,527054,3466666,2016
Junichi Tazawa,721,88.2246879334258,86.22887029288702,2155.849083215797,-0.4015256588072122,0.6768377253814147,0.0013869625520110957,50,0.22560975609756098,0.39634146341463417,0.189873417721519,0.29977401129943504,547749,3375000,2016
